,Precio,Nombre,Zona
0,44.900,Audi A5 2.0 Tfsi Coupe 190cv,Capital Federal - Capital Federal
1,4.385.998,Bmw Serie 1 2.5 135i Coupe Sportive 306cv,Castelar - Bs.As. G.B.A. Oeste
2,68.900,Bmw Serie 2 2.0 M240i Mpackage Lci Coupé,San Isidro - Bs.As. G.B.A. Norte
3,64.999,Bmw Serie 2 2.0 M240i Mpackage Lci Coupé,Capital Federal - Capital Federal
4,22.999,Mercedes-benz Clase Cla 1.6 Cla200 Coupe Urban 156cv Mt,Capital Federal - Capital Federal
5,90.000,Mercedes-benz Clase C 2.0 C300 Coupe 258cv Coupe,Capital Federal - Capital Federal
6,392.000,Mercedes-benz Gtr 4.0 V8 Gt R 585 Cv,Vicente López - Bs.As. G.B.A. Norte
7,2.949.000,Hyundai Veloster 1.6 130cv At,Avellaneda - Bs.As. G.B.A. Sur
8,104.000,Porsche Boxster 3.4 S 310cv (987),Pilar - Bs.As. G.B.A. Norte
9,31.500,Bmw Serie 1 2.5 135i Coupe Sportive 306cv,Tigre - Bs.As. G.B.A. Norte
10,45.500,Audi A5 2.0 Tfsi Coupe 190cv,Córdoba - Córdoba
11,26.000,Toyota 86 2.0 Ft Mt,General San Martín - Bs.As. G.B.A. Norte
12,31.000,Audi A5 2.0 Coupe Tfsi 225cv Multitronic,Capital Federal - Capital Federal
13,22.500,Peugeot Rcz 1.6 Thp 200cv Tip,Lanús - Bs.As. G.B.A. Sur
14,23.900,Hyundai Genesis 2.0 Coupe T 275cv Mt,Moreno - Bs.As. G.B.A. Oeste
15,20.000,Peugeot Rcz 1.6 Thp 200cv 6mt,Córdoba - Córdoba
16,222.000,Mercedes-benz Clase Glc 4.0 V8 Glc Coupé 63 S 4matic 510 Cv,Vicente López - Bs.As. G.B.A. Norte
17,12.800,Mercedes-benz Clase Clc 2.5 Clc250 Sportcoupe V6 Sporte Mt,Lomas de Zamora - Bs.As. G.B.A. Sur
18,130.000,Bmw Serie 4 3.0 440i Coupe M Package 326cv,La Plata - Bs.As. G.B.A. Sur
19,378.000,Mercedes-benz Gt4 4.0 V8 Gt4 63 S 639 Cv,Vicente López - Bs.As. G.B.A. Norte
20,13.000,Hyundai Veloster 1.6 130cv At,Tres de febrero - Bs.As. G.B.A. Oeste
21,64.900,Bmw Serie 4 3.0 440i Coupe M Package 326cv,Vicente López - Bs.As. G.B.A. Norte
22,3.099.000,Mini Cooper 1.6 Coupe 122cv,Avellaneda - Bs.As. G.B.A. Sur
23,16.000,Mini Cooper S 1.6 Coupe 184cv Chili,Capital Federal - Capital Federal
24,86.000,Jeep Grand Cherokee Limited Limited At8 4x4,Ezeiza - Bs.As. G.B.A. Sur
25,9.200.000,Bmw Serie 2 2.0 220i Sport Lci 184cv Coupé,La Plata - Bs.As. G.B.A. Sur
26,95.000,Porsche Panamera 4.8 S,San Isidro - Bs.As. G.B.A. Norte
27,16.900,Hyundai Genesis 2.0 Coupe T 275cv Mt,Moreno - Bs.As. G.B.A. Oeste
28,52.900,Audi A5 2.0 Tfsi Coupe 190cv,Capital Federal - Capital Federal
29,25.000,Bmw Serie 1 2.5 135i Coupe Sportive 306cv,Morón - Bs.As. G.B.A. Oeste
30,48.500,Bmw Serie 2 2.0 220i Sport Lci 184cv Coupé,La Plata - Bs.As. G.B.A. Sur
31,373.000,Mercedes-benz Gtr 4.0 V8 Gt R 585 Cv,San Fernando - Bs.As. G.B.A. Norte
32,360.000,Mercedes-benz Gt4 4.0 V8 Gt4 63 S 639 Cv,San Fernando - Bs.As. G.B.A. Norte
33,20.900,Peugeot 308 1.6 Cc Tiptronic Thp 163cv,Capital Federal - Capital Federal
34,44.500,Bmw Serie 4 2.0 430i Gran Coupe Sportline 252cv,Tigre - Bs.As. G.B.A. Norte
35,79.900,Bmw Serie M 3.0 M2,Capital Federal - Capital Federal
36,3.850.000,Volkswagen Scirocco 2.0 Tsi 211cv,Ituzaingó - Bs.As. G.B.A. Oeste
37,15.399,Hyundai Genesis 2.0 Coupe T 275cv Mt,Capital Federal - Capital Federal
38,26.000,Bmw Serie 1 2.5 135i Coupe Sportive 306cv,Moreno - Bs.As. G.B.A. Oeste
39,67.050,Ford Mustang 5.0 Gt 421cv,Moreno - Bs.As. G.B.A. Oeste
40,28.000,Bmw Serie 1 2.5 135i Coupe Sportive 306cv,San Isidro - Bs.As. G.B.A. Norte
41,34.000,Mercedes-benz Clase Cla 2.0 Cla250 Coupe Sport 211cv At,Capital Federal - Capital Federal
42,27.300,Mercedes-benz Clase Slk 2.3 Slk230 Kompresor At,Capital Federal - Capital Federal
43,47.900,Bmw Serie 2 3.0 240i M Package,Córdoba - Córdoba
44,125.000,Porsche 911 3.8 Carrera S Coupe 385cv (997),Vicente López - Bs.As. G.B.A. Norte
45,67.000,Ford Mustang 5.0 Gt 421cv,Moreno - Bs.As. G.B.A. Oeste
46,15.200,Peugeot 207 1.6 Coupe Thp 156cv,Escobar - Bs.As. G.B.A. Norte
47,6.000,Honda Civic 1.6 Ex Coupe,Junín - Buenos Aires Interior
